aX,aY,aZ,gX,gY,gZ
0.394,-1.077,-0.350,23.560,-40.466,8.301
0.296,-1.021,-0.346,11.536,-48.645,0.977
0.183,-1.000,-0.324,-5.493,-36.560,1.160
0.116,-1.010,-0.311,-17.944,-12.634,4.089
0.057,-1.016,-0.303,-25.146,20.203,5.798
0.023,-0.962,-0.237,-30.762,67.078,5.554
0.034,-0.889,-0.164,-28.687,129.517,1.526
0.121,-0.864,-0.124,-13.855,201.599,-5.127
0.184,-0.889,-0.147,5.371,273.682,-9.705
0.202,-0.932,-0.237,21.118,341.919,-10.559
0.259,-0.953,-0.342,22.278,403.076,-9.338
0.414,-1.045,-0.402,16.663,456.238,-10.254
0.555,-1.080,-0.506,7.446,504.028,-22.156
0.556,-1.022,-0.577,-4.639,550.110,-42.175
0.503,-0.982,-0.603,-17.090,587.708,-58.960
0.461,-0.968,-0.599,-31.006,612.671,-68.909
0.472,-0.978,-0.587,-43.213,622.131,-72.693
