aX,aY,aZ,gX,gY,gZ
-0.004,-0.995,-0.231,-8.728,-1.038,0.610
-0.004,-1.009,-0.241,-5.676,-0.549,0.732
-0.002,-1.029,-0.259,-3.601,-0.488,1.221
-0.002,-1.053,-0.271,-2.747,-1.526,1.770
-0.008,-1.076,-0.265,-1.831,-2.625,3.113
-0.013,-1.078,-0.257,-1.099,-3.662,5.554
-0.011,-1.059,-0.255,-1.099,-2.808,8.423
-0.013,-1.021,-0.244,-1.709,-2.380,9.827
-0.005,-1.014,-0.221,-2.625,-1.892,9.705
-0.000,-1.018,-0.215,-4.456,-0.427,8.118
0.002,-1.017,-0.231,-7.080,1.282,6.775
0.012,-1.017,-0.249,-9.033,2.869,5.798
0.013,-1.016,-0.270,-9.583,2.747,5.127
0.013,-1.014,-0.284,-7.874,2.014,5.432
0.022,-1.038,-0.286,-4.517,1.099,6.104
0.017,-1.062,-0.276,-0.549,-0.671,7.263
0.013,-1.055,-0.272,1.221,-1.587,8.728
0.020,-1.043,-0.273,2.136,-1.465,10.254
0.023,-1.041,-0.267,4.639,-1.404,11.353
0.020,-1.049,-0.255,7.019,-1.953,11.414
0.011,-1.061,-0.241,8.423,-2.075,11.047
0.005,-1.063,-0.236,7.019,-1.465,9.766
0.006,-1.078,-0.248,3.418,-0.122,8.240
0.013,-1.105,-0.278,0.244,1.770,7.202
0.021,-1.148,-0.295,-0.793,1.709,7.141
0.015,-1.198,-0.299,0.427,-0.671,8.179
0.007,-1.230,-0.288,0.732,-2.502,10.620
0.008,-1.216,-0.258,-2.014,-3.723,13.306
0.009,-1.158,-0.239,-6.348,-3.296,15.381
0.034,-1.120,-0.237,-10.376,-0.244,15.625
0.044,-1.110,-0.255,-13.184,2.319,14.648
0.048,-1.111,-0.272,-16.235,2.563,12.878
0.057,-1.103,-0.276,-19.775,2.197,10.864
0.064,-1.087,-0.293,-24.048,2.136,9.705
0.073,-1.063,-0.306,-26.794,2.075,9.338
0.086,-1.030,-0.310,-28.564,1.526,8.972
0.090,-0.998,-0.309,-29.907,0.183,8.545
0.094,-0.973,-0.299,-29.663,-1.221,7.812
0.103,-0.970,-0.284,-28.503,-2.258,7.019
0.096,-0.965,-0.267,-28.076,-3.357,6.226
0.098,-0.942,-0.256,-28.015,-3.784,6.348
0.109,-0.910,-0.250,-28.259,-3.235,6.592
0.112,-0.882,-0.246,-28.076,-3.357,6.226
0.105,-0.855,-0.231,-25.269,-4.272,5.493

-0.236,-2.136,-0.357,38.757,0.305,-80.261
-0.269,-2.340,-0.295,48.462,-7.690,-66.467
-0.318,-2.395,-0.230,56.580,-9.705,-46.875
-0.327,-2.349,-0.159,62.683,-8.728,-26.489
-0.315,-2.279,-0.139,61.829,-5.249,-12.329
-0.284,-2.204,-0.200,58.350,3.540,-3.052
-0.230,-2.119,-0.280,53.650,12.756,5.066
-0.180,-2.028,-0.341,44.495,17.517,10.010
-0.140,-1.933,-0.425,35.034,19.470,14.099
-0.035,-1.873,-0.503,28.381,21.606,19.348
-0.058,-1.681,-0.548,23.193,15.137,23.071
-0.023,-1.564,-0.548,25.146,9.399,31.433
0.024,-1.465,-0.525,31.799,11.108,39.124
0.020,-1.330,-0.516,32.410,6.104,41.992
0.014,-1.218,-0.500,31.067,1.221,42.114
0.036,-1.150,-0.477,28.381,1.709,39.978
0.035,-1.096,-0.457,22.400,1.099,35.645
0.044,-1.049,-0.418,12.695,1.343,30.334
0.053,-0.999,-0.393,2.563,2.014,25.024
0.056,-0.971,-0.392,-2.563,3.601,20.630
0.049,-0.956,-0.391,-2.625,4.578,17.456
0.037,-0.933,-0.368,-0.366,3.662,15.442
0.018,-0.895,-0.349,1.709,2.258,13.977
0.010,-0.878,-0.346,4.272,2.258,12.634
0.001,-0.881,-0.318,5.554,1.648,10.254
-0.011,-0.886,-0.277,4.028,-0.427,7.019
-0.005,-0.910,-0.240,1.282,-0.244,3.723
0.002,-0.927,-0.230,-2.075,2.319,0.427
