aX,aY,aZ,gX,gY,gZ
0.037,-0.998,0.112,24.841,-8.850,-6.958
0.029,-1.031,0.117,22.034,-7.263,-8.911
0.031,-1.064,0.099,18.860,-4.822,-9.949
0.043,-1.076,0.078,15.991,-2.380,-9.399
0.051,-1.060,0.058,14.038,-0.549,-7.446
0.063,-1.032,0.038,14.404,0.488,-5.432
0.099,-1.029,0.027,17.761,0.671,-3.357
0.064,-1.010,0.015,22.583,-1.953,-2.441
0.063,-1.027,0.016,26.917,-3.357,-0.977
0.056,-1.048,0.023,28.503,-4.944,-0.305
0.055,-1.055,0.034,28.198,-5.066,0.610
0.052,-1.039,0.032,26.672,-3.723,2.014
0.068,-1.008,0.023,25.146,-1.465,3.479
0.083,-0.975,0.006,24.719,-0.061,3.845
0.086,-0.958,-0.002,26.367,0.488,3.174
0.089,-0.955,-0.008,28.809,0.854,2.380
0.090,-0.967,-0.010,29.907,1.221,1.038
0.088,-0.993,-0.007,28.625,0.977,-1.343
0.074,-1.018,-0.006,25.696,0.977,-3.540
0.077,-1.040,-0.021,22.156,2.014,-4.639
0.083,-1.047,-0.044,18.005,3.296,-5.249
0.086,-1.031,-0.064,15.015,3.967,-5.066
0.099,-1.009,-0.086,15.381,4.456,-3.845
0.103,-0.993,-0.100,18.555,3.967,-2.319
0.096,-0.984,-0.101,23.071,2.563,-1.343
0.090,-0.992,-0.093,26.184,1.343,-0.916
0.075,-1.004,-0.085,27.100,0.549,-1.282
0.069,-1.024,-0.082,25.208,0.427,-2.075
0.074,-1.043,-0.088,20.325,1.526,-3.052
0.083,-1.046,-0.097,14.709,2.319,-3.845
0.091,-1.036,-0.110,10.986,3.052,-3.357
0.105,-1.011,-0.113,10.315,3.296,-2.075
0.114,-0.990,-0.123,12.878,2.197,-0.305
0.097,-0.977,-0.115,17.334,0.183,0.793
0.081,-0.982,-0.101,21.118,-1.892,0.610
0.065,-0.999,-0.105,21.912,-2.319,-0.610
0.086,-1.031,-0.115,20.203,-1.831,-1.221
0.096,-1.045,-0.121,17.273,-2.625,-2.197
0.061,-1.018,-0.112,12.512,-3.357,-3.296
0.092,-1.003,-0.122,11.047,-1.404,-0.244
0.115,-0.982,-0.143,12.207,0.427,2.502
0.124,-0.929,-0.162,14.038,-0.183,3.906
0.115,-0.875,-0.166,17.822,-2.441,5.127
0.105,-0.854,-0.164,21.790,-4.517,4.150

-0.850,-2.671,0.119,-40.649,-12.390,-141.724
-0.983,-3.514,0.158,-74.036,-5.432,-162.415
-1.057,-4.000,0.159,-112.366,8.240,-162.415
-1.036,-4.000,0.097,-151.062,31.250,-131.287
-0.906,-4.000,-0.004,-177.002,59.448,-70.496
-0.758,-4.000,-0.129,-172.424,79.651,0.977
-0.669,-4.000,-0.240,-140.869,87.646,63.965
-0.599,-3.850,-0.328,-99.243,90.576,118.286
-0.571,-3.302,-0.394,-67.322,90.332,168.091
-0.542,-2.613,-0.470,-55.420,92.590,210.815
-0.483,-1.850,-0.653,-59.387,97.656,242.310
-0.400,-1.047,-0.907,-71.777,100.220,263.611
-0.283,-0.128,-1.147,-87.952,92.896,278.748
-0.135,0.893,-1.340,-107.178,74.036,281.799
0.062,1.736,-1.318,-116.516,51.514,264.160
0.257,2.275,-1.081,-100.342,25.085,226.685
0.271,2.517,-0.755,-67.017,-3.174,176.636
0.232,2.468,-0.446,-35.095,-22.705,122.437
0.184,2.245,-0.187,-20.203,-25.330,69.397
0.179,1.953,-0.086,-18.860,-17.578,25.574
0.085,1.656,-0.063,-21.118,-9.827,-11.353
0.096,1.229,0.039,-20.508,4.089,-41.809
0.054,0.842,0.092,-18.738,8.362,-64.270
-0.011,0.471,0.120,-19.531,9.399,-80.078
-0.024,0.114,0.139,-17.578,10.986,-87.830
